hour,total_records,valid_ratio_records,ratio_median,ratio_mean,ratio_p10,ratio_p90,onsite_dead_pct,good_pct
0,16957,0,,,,,0.0,0.0
1,16410,0,,,,,0.0,0.0
2,16410,0,,,,,0.0,0.0
3,16410,0,,,,,0.0,0.0
4,16410,0,,,,,0.0,0.0
5,16410,0,,,,,0.0,0.0
6,16410,279,0.5406923076923077,0.555753091545982,0.21206380952380954,0.9121589285714287,92.1084704448507,1.352833638025594
7,16410,2274,0.5180499103942653,0.5797298910533135,0.1681125,0.9761113246410259,41.620962827544176,10.865326020719074
8,16410,2713,0.808921568627451,1.0741730594041266,0.33261544891640865,1.6440595611285271,29.408897014015846,8.720292504570384
9,16410,3218,0.9793904651094143,2.924714447121939,0.5367838797134614,5.36271979283315,14.478976234003657,11.352833638025594
10,16410,3685,1.0379478260869566,1.8808238177970729,0.6316224206960271,3.5285018953864236,1.9622181596587445,13.144424131627055
11,16410,3686,1.0076895697329378,1.2463987922831339,0.6341153313103978,2.092340154440154,1.8281535648994516,14.692260816575258
12,16410,3715,0.9969144927536232,1.185206761836512,0.6289605559361847,1.6752119402985075,1.4929920780012187,16.337599024984765
13,16410,3718,0.906270752869393,0.9780311464974663,0.5550301946716386,1.3817122968344973,1.9012797074954297,16.819012797074954
14,16410,3715,0.8421581027667985,0.9050040395002844,0.48587902644849235,1.3045933122270237,2.4192565508836075,14.954296160877515
15,16410,3713,0.7459457364341086,0.7605253339670227,0.33576531163911844,1.1505620512820516,4.8080438756855575,11.870810481413772
16,16410,3705,0.5222394366197183,0.5799698121543954,0.19672,1.0083745139116203,10.719073735527118,6.581352833638025
17,16410,2982,0.306509325261205,0.41112955100040965,0.0420991128409836,0.9225236700380928,22.291285801340646,9.18951858622791
18,16410,1135,0.021311377245508984,0.23471135897217613,0.00019073083778966133,0.7638289915966386,61.03595368677636,1.9865935405240707
19,16410,216,0.002522907463892327,0.06839083474496044,0.0001992779783393502,0.14460645604395606,78.25106642291286,0.10968921389396709
20,16410,49,0.0019016393442622952,0.0029892565750834986,4.6428571428571436e-05,0.008412820512820513,0.0,0.0
21,16410,8,0.0010916666666666666,0.0009246149579235997,4.4422714761697816e-05,0.0016735647895024602,0.0,0.0
22,16410,0,,,,,0.0,0.0
23,16410,0,,,,,0.0,0.0
